"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Add phone product to Cart","chromium","2026-05-21","skipped","2026-05-21","Add to Cart Test","AddtoCartTest.spec.js","",""
"","2364","UnSuccessful Login with invalid password","chromium","2026-05-21","passed","2026-05-21","Login Test","LoginTest.spec.js","",""
"","0","Logout functionality","chromium","2026-05-21","skipped","2026-05-21","","HomeTest.spec.js","",""
"","0","has title","chromium","2026-05-21","skipped","2026-05-21","","example.spec.js","",""
"","3964","UnSuccessful Login with invalid username","chromium","2026-05-21","passed","2026-05-21","Login Test","LoginTest.spec.js","",""
"","0","Parameterized data driven","chromium","2026-05-21","skipped","2026-05-21","Add to Cart Test","AddtoCartTest.spec.js","",""
"","5459","Successful Login","chromium","2026-05-21","failed","2026-05-21","Login Test","LoginTest.spec.js","",""
"","0","Add monitor product to Cart","chromium","2026-05-21","skipped","2026-05-21","Add to Cart Test","AddtoCartTest.spec.js","",""
"","12","Add product to Cart","chromium","2026-05-21","skipped","2026-05-21","Add to Cart Test","AddtoCartTest.spec.js","",""
"","0","Sign Up Verification","chromium","2026-05-21","skipped","2026-05-21","Sign Up Test","SignUpTest.spec.js","",""
"","1","get started link","chromium","2026-05-21","skipped","2026-05-21","","example.spec.js","",""
"","0","Sign Up and Close","chromium","2026-05-21","skipped","2026-05-21","Sign Up Test","SignUpTest.spec.js","",""
"","2331","UnSuccessful Login with invalid username and password","chromium","2026-05-21","passed","2026-05-21","Login Test","LoginTest.spec.js","",""
